issuer,document_id,report_date,doc_type,source_url,status,note
jpm,JPM_FQ4_2022,2023-01-13,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ4_2022,2023-01-13,Earnings Presentation,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ1_2023,2023-04-14,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ1_2023,2023-04-14,Earnings Call Transcript,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ2_2023,2023-07-14,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ2_2023,2023-07-14,Earnings Call Transcript,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ3_2023,2023-10-13,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ3_2023,2023-10-13,Earnings Call Transcript,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ4_2023,2024-01-12,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ4_2023,2024-01-12,Earnings Presentation,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ4_2023,2024-01-12,Earnings Call Transcript,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ1_2024,2024-04-12,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ1_2024,2024-04-12,Earnings Presentation,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ1_2024,2024-04-12,Earnings Call Transcript,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ2_2024,2024-07-12,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ2_2024,2024-07-12,Earnings Presentation,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ2_2024,2024-07-12,Earnings Call Transcript,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ3_2024,2024-10-11,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ3_2024,2024-10-11,Earnings Presentation,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ3_2024,2024-10-11,Earnings Call Transcript,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ4_2024,2025-01-15,Press Release,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ4_2024,2025-01-15,Earnings Presentation,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
jpm,JPM_FQ4_2024,2025-01-15,Earnings Call Transcript,"official JPMorgan IR PDF (round-1 backfill, exact URL not logged that session)",verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2022,2023-01-13,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085823000005/bac-12312022ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2022,2023-01-13,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085823000005/bac-12312022ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ4_2022,2023-01-13,Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/01/13/bank-of-america-bac-q4-2022-earnings-call-transcri/,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ1_2023,2023-04-18,Press Release,https://www.sec.gov/Archives/edgar/data/70858/000007085823000131/bac-03312023ex991.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ1_2023,2023-04-18,Earnings Presentation,https://www.sec.gov/Archives/edgar/data/70858/000007085823000131/bac-033312023ex992.htm,verified,extract_doc_text verified: extracts and contains correct year token
bank_of_america,BAC_FQ1_2023,2023-04-18,Earnings Call Transcript,https://www.insidermonkey.com/blog/bank-of-america-corporation-nysebac-q1-2023-earnings-call-transcript-1142187/,verified,extract_doc_text verified: extracts and contains correct year token
