layer,issuer,document_id,run_id,timestamp,model,input_tokens,cache_hit_tokens,output_tokens,total_tokens,estimated_cost_usd
macro,macro,FOMC_2025-01-29,20260702T132530Z,2026-07-02T13:25:45Z,deepseek-v4-flash,14258,,1834,16092,0.005867
macro,macro,FOMC_2025-03-19,20260702T132545Z,2026-07-02T13:26:02Z,deepseek-v4-flash,13023,,1861,14884,0.005563
macro,macro,FOMC_2025-05-07,20260702T132602Z,2026-07-02T13:26:18Z,deepseek-v4-flash,13398,,1838,15236,0.005639
macro,macro,FOMC_2025-06-18,20260702T132618Z,2026-07-02T13:26:34Z,deepseek-v4-flash,12795,,2002,14797,0.005657
macro,macro,FOMC_2025-07-30,20260702T132634Z,2026-07-02T13:26:50Z,deepseek-v4-flash,12864,,2145,15009,0.005833
macro,macro,FOMC_2025-09-17,20260702T132650Z,2026-07-02T13:27:00Z,deepseek-v4-flash,12012,,1335,13347,0.004712
macro,macro,FOMC_2025-10-29,20260702T132701Z,2026-07-02T13:27:13Z,deepseek-v4-flash,14272,,1727,15999,0.005753
macro,macro,FOMC_2025-12-10,20260702T132713Z,2026-07-02T13:27:24Z,deepseek-v4-flash,13507,,1384,14891,0.005169
macro,macro,FOMC_2026-01-28,20260709T145704Z,2026-07-09T14:57:23Z,deepseek-v4-flash,12802,256,2222,15024,0.00585
macro,macro,FOMC_2026-03-18,20260706T104203Z,2026-07-06T10:42:19Z,deepseek-v4-flash,12048,256,2071,14119,0.00548
macro,macro,FOMC_2026-04-29,20260706T104222Z,2026-07-06T10:42:36Z,deepseek-v4-flash,13001,256,2043,15044,0.005706
micro,bank_of_america,BAC_FQ1_2021,20260709T144506Z,,deepseek-v4-flash,32983,,2007,34990,0.011062
micro,bank_of_america,BAC_FQ1_2022,20260709T144506Z,,deepseek-v4-flash,35708,,1890,37598,0.011669
micro,bank_of_america,BAC_FQ1_2026,20260709T144506Z,,deepseek-v4-flash,37586,,2001,39587,0.012298
micro,bank_of_america,BAC_FQ2_2021,20260709T144506Z,,deepseek-v4-flash,35736,,2319,38055,0.012148
micro,bank_of_america,BAC_FQ2_2022,20260709T144506Z,,deepseek-v4-flash,38800,,2294,41094,0.012948
micro,bank_of_america,BAC_FQ3_2021,20260709T144506Z,,deepseek-v4-flash,36637,,1967,38604,0.012004
micro,bank_of_america,BAC_FQ3_2022,20260709T144506Z,,deepseek-v4-flash,38466,,1919,40385,0.012446
micro,bank_of_america,BAC_FQ4_2020,20260709T144506Z,,deepseek-v4-flash,36027,,3053,39080,0.013034
micro,bank_of_america,BAC_FQ4_2021,20260709T144506Z,,deepseek-v4-flash,37466,,3115,40581,0.013491
micro,boeing,BA_FQ1_2021,20260709T144238Z,,deepseek-v4-flash,9073,,2681,11754,0.005348
micro,boeing,BA_FQ1_2022,20260709T144238Z,,deepseek-v4-flash,8979,,2497,11476,0.00512
micro,boeing,BA_FQ1_2026,20260709T144238Z,,deepseek-v4-flash,8577,,1916,10493,0.004372
micro,boeing,BA_FQ2_2021,20260709T144238Z,,deepseek-v4-flash,10100,,2911,13011,0.005878
micro,boeing,BA_FQ2_2022,20260709T144238Z,,deepseek-v4-flash,9722,,2289,12011,0.005092
micro,boeing,BA_FQ3_2021,20260709T144238Z,,deepseek-v4-flash,9989,,2000,11989,0.004846
micro,boeing,BA_FQ3_2022,20260709T144238Z,,deepseek-v4-flash,9899,,1704,11603,0.004496
micro,boeing,BA_FQ4_2020,20260709T144238Z,,deepseek-v4-flash,10850,,3100,13950,0.006288
micro,boeing,BA_FQ4_2021,20260709T144238Z,,deepseek-v4-flash,10325,,2325,12650,0.005294
micro,disney,DIS_FQ1_2021,20260709T144738Z,,deepseek-v4-flash,10764,,1965,12729,0.005017
micro,disney,DIS_FQ1_2022,20260709T144738Z,,deepseek-v4-flash,12074,,1853,13927,0.005247
micro,disney,DIS_FQ1_2026,20260709T144738Z,,deepseek-v4-flash,11112,,2431,13543,0.005623
micro,disney,DIS_FQ2_2021,20260709T144738Z,,deepseek-v4-flash,12492,,1767,14259,0.005265
micro,disney,DIS_FQ2_2022,20260709T144738Z,,deepseek-v4-flash,13964,,2342,16306,0.006295
micro,disney,DIS_FQ3_2021,20260709T144738Z,,deepseek-v4-flash,13108,,2008,15116,0.005697
micro,disney,DIS_FQ3_2022,20260709T144738Z,,deepseek-v4-flash,14031,,2081,16112,0.006026
micro,disney,DIS_FQ4_2021,20260709T144738Z,,deepseek-v4-flash,13724,,2243,15967,0.006122
micro,jpm,JPM_FQ1_2021,20260709T144020Z,,deepseek-v4-flash,15504,,2262,17766,0.006623
micro,jpm,JPM_FQ1_2022,20260709T144020Z,,deepseek-v4-flash,15331,,2131,17462,0.006432
micro,jpm,JPM_FQ1_2026,20260709T144020Z,,deepseek-v4-flash,15434,,1822,17256,0.00612
micro,jpm,JPM_FQ2_2021,20260709T144020Z,,deepseek-v4-flash,15495,,2287,17782,0.006648
micro,jpm,JPM_FQ2_2022,20260709T144020Z,,deepseek-v4-flash,14633,,2138,16771,0.006252
micro,jpm,JPM_FQ3_2021,20260709T144020Z,,deepseek-v4-flash,15227,,1931,17158,0.006184
micro,jpm,JPM_FQ3_2022,20260709T144020Z,,deepseek-v4-flash,14774,,1666,16440,0.00577
micro,jpm,JPM_FQ4_2020,20260709T144020Z,,deepseek-v4-flash,19852,,2476,22328,0.008032
micro,jpm,JPM_FQ4_2021,20260709T144020Z,,deepseek-v4-flash,18830,,2369,21199,0.007639
micro,netflix,NFLX_FQ1_2021,20260709T145250Z,,deepseek-v4-flash,9705,,2077,11782,0.004854
micro,netflix,NFLX_FQ1_2022,20260709T145250Z,,deepseek-v4-flash,10226,,1585,11811,0.004453
micro,netflix,NFLX_FQ1_2025,20260709T145250Z,,deepseek-v4-flash,11723,,1788,13511,0.005081
micro,netflix,NFLX_FQ2_2021,20260709T145250Z,,deepseek-v4-flash,10486,,2508,12994,0.005539
micro,netflix,NFLX_FQ2_2022,20260709T145250Z,,deepseek-v4-flash,12544,,2686,15230,0.00629
micro,netflix,NFLX_FQ3_2021,20260709T145250Z,,deepseek-v4-flash,10446,,2393,12839,0.005402
micro,netflix,NFLX_FQ3_2022,20260709T145250Z,,deepseek-v4-flash,13637,,2166,15803,0.006013
micro,netflix,NFLX_FQ4_2020,20260709T145250Z,,deepseek-v4-flash,10110,,2721,12831,0.005672
micro,netflix,NFLX_FQ4_2021,20260709T145250Z,,deepseek-v4-flash,10334,,2033,12367,0.004975
micro,target,TGT_FQ1_2021,20260709T145036Z,,deepseek-v4-flash,8191,,1977,10168,0.002773
micro,target,TGT_FQ1_2022,20260709T145036Z,,deepseek-v4-flash,8177,,1998,10175,0.004354
micro,target,TGT_FQ2_2021,20260709T145036Z,,deepseek-v4-flash,9062,,1812,10874,0.004389
micro,target,TGT_FQ2_2022,20260709T145036Z,,deepseek-v4-flash,8930,,1713,10643,0.004244
micro,target,TGT_FQ3_2021,20260709T145036Z,,deepseek-v4-flash,8846,,1594,10440,0.004091
micro,target,TGT_FQ3_2022,20260709T145036Z,,deepseek-v4-flash,9097,,1898,10995,0.004493
micro,target,TGT_FQ4_2020,20260709T145036Z,,deepseek-v4-flash,9355,,2486,11841,0.003392
micro,target,TGT_FQ4_2021,20260709T145036Z,,deepseek-v4-flash,9311,,2886,12197,0.005637
micro,target,TGT_FQ4_2025,20260709T145036Z,,deepseek-v4-flash,9915,,2752,12667,0.005653
news,bank_of_america,BAC_FQ1_2025_NEWS,20260706T103915Z,2026-07-06T10:39:28Z,deepseek-v4-flash,3758,256,1540,5298,0.002657
news,bank_of_america,BAC_FQ2_2025_NEWS,20260706T103928Z,2026-07-06T10:39:39Z,deepseek-v4-flash,3761,256,1508,5269,0.002623
news,bank_of_america,BAC_FQ3_2025_NEWS,20260706T103939Z,2026-07-06T10:39:52Z,deepseek-v4-flash,3778,256,1799,5577,0.002948
news,bank_of_america,BAC_FQ4_2025_NEWS,20260706T103952Z,2026-07-06T10:40:03Z,deepseek-v4-flash,3766,256,1529,5295,0.002648
news,boeing,BA_FQ1_2025_NEWS,20260702T133210Z,2026-07-02T13:32:25Z,deepseek-v4-flash,3845,,2068,5913,0.003313
news,boeing,BA_FQ2_2025_NEWS,20260702T133225Z,2026-07-02T13:32:38Z,deepseek-v4-flash,3832,,1646,5478,0.002845
news,boeing,BA_FQ3_2025_NEWS,20260702T133238Z,2026-07-02T13:32:48Z,deepseek-v4-flash,3760,,1505,5265,0.002671
news,boeing,BA_FQ4_2025_NEWS,20260702T133248Z,2026-07-02T13:33:00Z,deepseek-v4-flash,3862,,1665,5527,0.002874
news,disney,DIS_FQ1_2025_NEWS,20260706T104003Z,2026-07-06T10:40:19Z,deepseek-v4-flash,3901,256,2149,6050,0.003366
news,disney,DIS_FQ2_2025_NEWS,20260706T104019Z,2026-07-06T10:40:33Z,deepseek-v4-flash,3878,256,1993,5871,0.003188
news,disney,DIS_FQ3_2025_NEWS,20260706T104033Z,2026-07-06T10:40:44Z,deepseek-v4-flash,3591,256,1409,5000,0.002468
news,disney,DIS_FQ4_2025_NEWS,20260706T104044Z,2026-07-06T10:40:54Z,deepseek-v4-flash,3596,256,1250,4846,0.002295
news,jpm,JPM_FQ1_2025_NEWS,20260702T133300Z,2026-07-02T13:33:13Z,deepseek-v4-flash,4182,,1823,6005,0.003134
news,jpm,JPM_FQ2_2025_NEWS,20260702T133313Z,2026-07-02T13:33:24Z,deepseek-v4-flash,3909,,1485,5394,0.002689
