# Extension overnight gaps, one row per event per arm.
# written by eval/extension_gaps.py on 2026-08-20
# blend weights (0.55, 0.45, 0.0, 0.0), band (+0.25, -0.05) - read from blend.py, not hard-coded
# entry anchor: report_date; entry session per the manifest's release_timing; gap = entry close -> next session open
# cost 10.0 bps round trip, short borrow 0.0 bps
# supersedes backtest_equity_extension_2026_08_13.csv, which is left as the record
# and which this script reproduces at that date's constants before writing.
rater,report_date,ticker,decision,gap,net,equity
LLM (DeepSeek),2026-03-12,ADBE,HOLD,-0.077,-0.0,1.0
LLM (DeepSeek),2026-06-11,ADBE,HOLD,-0.075,-0.0,1.0
LLM (DeepSeek),2025-09-11,ADBE,BUY,0.0301,0.0291,1.0291
LLM (DeepSeek),2025-12-10,ADBE,HOLD,-0.0043,-0.0,1.0291
LLM (DeepSeek),2026-04-23,AXP,HOLD,-0.0021,-0.0,1.0291
LLM (DeepSeek),2025-07-18,AXP,HOLD,-0.0111,-0.0,1.0291
LLM (DeepSeek),2025-10-17,AXP,BUY,0.0287,0.0277,1.0576061
LLM (DeepSeek),2026-01-30,AXP,HOLD,-0.0098,-0.0,1.0576061
LLM (DeepSeek),2026-05-01,CVX,HOLD,-0.0104,-0.0,1.0576061
LLM (DeepSeek),2025-08-01,CVX,HOLD,0.0059,0.0,1.0576061
LLM (DeepSeek),2025-10-31,CVX,BUY,0.0144,0.0134,1.071778
LLM (DeepSeek),2026-01-30,CVX,HOLD,0.0084,0.0,1.071778
LLM (DeepSeek),2026-04-24,CL,SELL,0.01,-0.011,1.0599884
LLM (DeepSeek),2026-07-31,CL,HOLD,-0.0082,-0.0,1.0599884
LLM (DeepSeek),2025-10-31,CL,SELL,-0.0125,0.0115,1.0721783
LLM (DeepSeek),2026-01-30,CL,HOLD,0.0406,0.0,1.0721783
LLM (DeepSeek),2025-12-11,COST,HOLD,-0.0013,-0.0,1.0721783
LLM (DeepSeek),2026-03-05,COST,HOLD,-0.0158,-0.0,1.0721783
LLM (DeepSeek),2026-05-28,COST,HOLD,-0.0087,-0.0,1.0721783
LLM (DeepSeek),2025-09-25,COST,HOLD,-0.0188,-0.0,1.0721783
LLM (DeepSeek),2026-05-07,DDOG,HOLD,0.3081,0.0,1.0721783
LLM (DeepSeek),2025-08-07,DDOG,HOLD,0.0788,0.0,1.0721783
LLM (DeepSeek),2025-11-06,DDOG,BUY,0.1543,0.1533,1.2365432
LLM (DeepSeek),2026-02-10,DDOG,HOLD,0.0892,0.0,1.2365432
LLM (DeepSeek),2023-05-09,DUK,HOLD,-0.0119,-0.0,1.2365432
LLM (DeepSeek),2024-05-07,DUK,HOLD,0.0058,0.0,1.2365432
LLM (DeepSeek),2025-05-06,DUK,HOLD,0.0104,0.0,1.2365432
LLM (DeepSeek),2026-05-05,DUK,HOLD,0.0114,0.0,1.2365432
LLM (DeepSeek),2023-08-08,DUK,SELL,0.0069,-0.0079,1.2267745
LLM (DeepSeek),2024-08-06,DUK,HOLD,0.0133,0.0,1.2267745
LLM (DeepSeek),2025-08-05,DUK,HOLD,0.0225,0.0,1.2267745
LLM (DeepSeek),2023-11-02,DUK,HOLD,-0.0004,-0.0,1.2267745
LLM (DeepSeek),2024-11-07,DUK,SELL,-0.0087,0.0077,1.2362207
LLM (DeepSeek),2025-11-07,DUK,BUY,0.0008,-0.0002,1.2359735
LLM (DeepSeek),2024-02-08,DUK,BUY,-0.008,-0.009,1.2248497
LLM (DeepSeek),2025-02-13,DUK,BUY,-0.0092,-0.0102,1.2123562
LLM (DeepSeek),2026-02-10,DUK,BUY,0.0039,0.0029,1.2158721
LLM (DeepSeek),2025-04-30,EBAY,SELL,0.0277,-0.0287,1.1809765
LLM (DeepSeek),2026-04-29,EBAY,HOLD,-0.0358,-0.0,1.1809765
LLM (DeepSeek),2025-07-30,EBAY,HOLD,0.1372,0.0,1.1809765
LLM (DeepSeek),2025-10-29,EBAY,BUY,-0.14,-0.141,1.0144588
LLM (DeepSeek),2023-04-28,XOM,HOLD,0.0036,0.0,1.0144588
LLM (DeepSeek),2024-04-26,XOM,HOLD,-0.0192,-0.0,1.0144588
LLM (DeepSeek),2025-05-02,XOM,HOLD,0.0183,0.0,1.0144588
LLM (DeepSeek),2026-05-01,XOM,HOLD,-0.0111,-0.0,1.0144588
LLM (DeepSeek),2023-07-28,XOM,HOLD,-0.0029,-0.0,1.0144588
LLM (DeepSeek),2024-08-02,XOM,HOLD,-0.0084,-0.0,1.0144588
LLM (DeepSeek),2025-08-01,XOM,HOLD,0.0032,0.0,1.0144588
LLM (DeepSeek),2023-10-27,XOM,HOLD,0.012,0.0,1.0144588
LLM (DeepSeek),2024-11-01,XOM,HOLD,0.027,0.0,1.0144588
LLM (DeepSeek),2025-10-31,XOM,BUY,-0.0062,-0.0072,1.0071547
LLM (DeepSeek),2024-02-02,XOM,HOLD,0.0133,0.0,1.0071547
LLM (DeepSeek),2025-01-31,XOM,HOLD,0.0089,0.0,1.0071547
LLM (DeepSeek),2026-01-30,XOM,HOLD,-0.0126,-0.0,1.0071547
LLM (DeepSeek),2026-04-23,FCX,SELL,-0.115,0.114,1.1219704
LLM (DeepSeek),2025-07-23,FCX,HOLD,-0.0249,-0.0,1.1219704
LLM (DeepSeek),2026-01-22,FCX,HOLD,0.0033,0.0,1.1219704
LLM (DeepSeek),2024-03-01,HEIA.AS,HOLD,0.0049,0.0,1.1219704
LLM (DeepSeek),2024-07-01,HEIA.AS,HOLD,0.0055,0.0,1.1219704
LLM (DeepSeek),2024-10-01,HEIA.AS,HOLD,0.0005,0.0,1.1219704
LLM (DeepSeek),2025-10-01,HEIA.AS,SELL,-0.0027,0.0017,1.1238777
LLM (DeepSeek),2025-02-01,RMSP.XC,HOLD,0.0,0.0,1.1238777
LLM (DeepSeek),2025-07-01,RMSP.XC,SELL,-0.0039,0.0029,1.127137
LLM (DeepSeek),2025-10-01,RMSP.XC,HOLD,0.0026,0.0,1.127137
LLM (DeepSeek),2026-02-01,RMSP.XC,HOLD,0.0,0.0,1.127137
LLM (DeepSeek),2026-05-19,HD,SELL,-0.0265,0.0255,1.155879
LLM (DeepSeek),2025-08-19,HD,HOLD,0.016,0.0,1.155879
LLM (DeepSeek),2025-11-18,HD,SELL,-0.0504,0.0494,1.2129794
LLM (DeepSeek),2026-02-24,HD,SELL,0.0321,-0.0331,1.1728298
LLM (DeepSeek),2026-04-23,INTC,HOLD,0.2309,0.0,1.1728298
LLM (DeepSeek),2025-07-24,INTC,SELL,-0.0862,0.0852,1.2727549
LLM (DeepSeek),2025-10-23,INTC,BUY,0.0487,0.0477,1.3334653
LLM (DeepSeek),2026-01-22,INTC,HOLD,-0.1373,-0.0,1.3334653
LLM (DeepSeek),2026-04-30,MA,SELL,-0.0395,0.0385,1.3848037
LLM (DeepSeek),2025-07-31,MA,HOLD,0.0169,0.0,1.3848037
LLM (DeepSeek),2025-10-30,MA,BUY,-0.0054,-0.0064,1.3759409
LLM (DeepSeek),2026-01-29,MA,HOLD,0.02,0.0,1.3759409
LLM (DeepSeek),2026-02-01,NSRGY,HOLD,0.0244,0.0,1.3759409
LLM (DeepSeek),2024-10-01,NSRGY,SELL,-0.0037,0.0027,1.379656
LLM (DeepSeek),2026-05-01,SHEL,HOLD,-0.0052,-0.0,1.379656
LLM (DeepSeek),2025-08-01,SHEL,HOLD,0.0047,0.0,1.379656
LLM (DeepSeek),2025-11-01,SHEL,BUY,-0.0009,-0.0019,1.3770346
LLM (DeepSeek),2026-02-01,SHEL,HOLD,-0.0129,-0.0,1.3770346
LLM (DeepSeek),2026-05-05,SHOP,HOLD,-0.0902,-0.0,1.3770346
LLM (DeepSeek),2025-11-04,SHOP,BUY,-0.0571,-0.0581,1.2970289
LLM (DeepSeek),2026-02-11,SHOP,BUY,0.0916,0.0906,1.4145398
LLM (DeepSeek),2026-08-01,SONY,HOLD,-0.0241,-0.0,1.4145398
LLM (DeepSeek),2025-11-01,SONY,BUY,0.0029,0.0019,1.4172274
LLM (DeepSeek),2026-02-01,SONY,BUY,-0.0005,-0.0015,1.4151015
LLM (DeepSeek),2026-05-06,UNP,SELL,0.0054,-0.0064,1.4060449
LLM (DeepSeek),2025-08-21,UNP,HOLD,-0.0009,-0.0,1.4060449
LLM (DeepSeek),2025-11-05,UNP,HOLD,-0.0053,-0.0,1.4060449
LLM (DeepSeek),2026-02-04,UNP,HOLD,0.0043,0.0,1.4060449
baseline: always-long,2026-03-12,ADBE,BUY,-0.077,-0.078,0.922
baseline: always-long,2026-06-11,ADBE,BUY,-0.075,-0.076,0.851928
baseline: always-long,2025-09-11,ADBE,BUY,0.0301,0.0291,0.8767191
baseline: always-long,2025-12-10,ADBE,BUY,-0.0043,-0.0053,0.8720725
baseline: always-long,2026-04-23,AXP,BUY,-0.0021,-0.0031,0.8693691
baseline: always-long,2025-07-18,AXP,BUY,-0.0111,-0.0121,0.8588497
baseline: always-long,2025-10-17,AXP,BUY,0.0287,0.0277,0.8826398
baseline: always-long,2026-01-30,AXP,BUY,-0.0098,-0.0108,0.8731073
baseline: always-long,2026-05-01,CVX,BUY,-0.0104,-0.0114,0.8631539
baseline: always-long,2025-08-01,CVX,BUY,0.0059,0.0049,0.8673834
baseline: always-long,2025-10-31,CVX,BUY,0.0144,0.0134,0.8790063
baseline: always-long,2026-01-30,CVX,BUY,0.0084,0.0074,0.8855109
baseline: always-long,2026-04-24,CL,BUY,0.01,0.009,0.8934805
baseline: always-long,2026-07-31,CL,BUY,-0.0082,-0.0092,0.8852605
baseline: always-long,2025-10-31,CL,BUY,-0.0125,-0.0135,0.8733095
baseline: always-long,2026-01-30,CL,BUY,0.0406,0.0396,0.9078926
baseline: always-long,2025-12-11,COST,BUY,-0.0013,-0.0023,0.9058044
baseline: always-long,2026-03-05,COST,BUY,-0.0158,-0.0168,0.8905869
baseline: always-long,2026-05-28,COST,BUY,-0.0087,-0.0097,0.8819482
baseline: always-long,2025-09-25,COST,BUY,-0.0188,-0.0198,0.8644856
baseline: always-long,2026-05-07,DDOG,BUY,0.3081,0.3071,1.1299692
baseline: always-long,2025-08-07,DDOG,BUY,0.0788,0.0778,1.2178808
baseline: always-long,2025-11-06,DDOG,BUY,0.1543,0.1533,1.4045819
baseline: always-long,2026-02-10,DDOG,BUY,0.0892,0.0882,1.528466
baseline: always-long,2023-05-09,DUK,BUY,-0.0119,-0.0129,1.5087488
baseline: always-long,2024-05-07,DUK,BUY,0.0058,0.0048,1.5159908
baseline: always-long,2025-05-06,DUK,BUY,0.0104,0.0094,1.5302411
baseline: always-long,2026-05-05,DUK,BUY,0.0114,0.0104,1.5461556
baseline: always-long,2023-08-08,DUK,BUY,0.0069,0.0059,1.5552779
baseline: always-long,2024-08-06,DUK,BUY,0.0133,0.0123,1.5744078
baseline: always-long,2025-08-05,DUK,BUY,0.0225,0.0215,1.6082576
baseline: always-long,2023-11-02,DUK,BUY,-0.0004,-0.0014,1.6060061
baseline: always-long,2024-11-07,DUK,BUY,-0.0087,-0.0097,1.5904278
baseline: always-long,2025-11-07,DUK,BUY,0.0008,-0.0002,1.5901097
baseline: always-long,2024-02-08,DUK,BUY,-0.008,-0.009,1.5757987
baseline: always-long,2025-02-13,DUK,BUY,-0.0092,-0.0102,1.5597256
baseline: always-long,2026-02-10,DUK,BUY,0.0039,0.0029,1.5642488
baseline: always-long,2025-04-30,EBAY,BUY,0.0277,0.0267,1.6060142
baseline: always-long,2026-04-29,EBAY,BUY,-0.0358,-0.0368,1.5469129
baseline: always-long,2025-07-30,EBAY,BUY,0.1372,0.1362,1.7576024
baseline: always-long,2025-10-29,EBAY,BUY,-0.14,-0.141,1.5097805
baseline: always-long,2023-04-28,XOM,BUY,0.0036,0.0026,1.5137059
baseline: always-long,2024-04-26,XOM,BUY,-0.0192,-0.0202,1.4831291
baseline: always-long,2025-05-02,XOM,BUY,0.0183,0.0173,1.5087872
baseline: always-long,2026-05-01,XOM,BUY,-0.0111,-0.0121,1.4905309
baseline: always-long,2023-07-28,XOM,BUY,-0.0029,-0.0039,1.4847178
baseline: always-long,2024-08-02,XOM,BUY,-0.0084,-0.0094,1.4707615
baseline: always-long,2025-08-01,XOM,BUY,0.0032,0.0022,1.4739971
baseline: always-long,2023-10-27,XOM,BUY,0.012,0.011,1.4902111
baseline: always-long,2024-11-01,XOM,BUY,0.027,0.026,1.5289566
baseline: always-long,2025-10-31,XOM,BUY,-0.0062,-0.0072,1.5179481
baseline: always-long,2024-02-02,XOM,BUY,0.0133,0.0123,1.5366189
baseline: always-long,2025-01-31,XOM,BUY,0.0089,0.0079,1.5487581
baseline: always-long,2026-01-30,XOM,BUY,-0.0126,-0.0136,1.527695
baseline: always-long,2026-04-23,FCX,BUY,-0.115,-0.116,1.3504824
baseline: always-long,2025-07-23,FCX,BUY,-0.0249,-0.0259,1.3155049
baseline: always-long,2026-01-22,FCX,BUY,0.0033,0.0023,1.3185306
baseline: always-long,2024-03-01,HEIA.AS,BUY,0.0049,0.0039,1.3236728
baseline: always-long,2024-07-01,HEIA.AS,BUY,0.0055,0.0045,1.3296294
baseline: always-long,2024-10-01,HEIA.AS,BUY,0.0005,-0.0005,1.3289646
baseline: always-long,2025-10-01,HEIA.AS,BUY,-0.0027,-0.0037,1.3240474
baseline: always-long,2025-02-01,RMSP.XC,BUY,0.0,-0.001,1.3227233
baseline: always-long,2025-07-01,RMSP.XC,BUY,-0.0039,-0.0049,1.316242
baseline: always-long,2025-10-01,RMSP.XC,BUY,0.0026,0.0016,1.318348
baseline: always-long,2026-02-01,RMSP.XC,BUY,0.0,-0.001,1.3170296
baseline: always-long,2026-05-19,HD,BUY,-0.0265,-0.0275,1.2808113
baseline: always-long,2025-08-19,HD,BUY,0.016,0.015,1.3000235
baseline: always-long,2025-11-18,HD,BUY,-0.0504,-0.0514,1.2332023
baseline: always-long,2026-02-24,HD,BUY,0.0321,0.0311,1.2715549
baseline: always-long,2026-04-23,INTC,BUY,0.2309,0.2299,1.5638853
baseline: always-long,2025-07-24,INTC,BUY,-0.0862,-0.0872,1.4275145
baseline: always-long,2025-10-23,INTC,BUY,0.0487,0.0477,1.495607
baseline: always-long,2026-01-22,INTC,BUY,-0.1373,-0.1383,1.2887645
baseline: always-long,2026-04-30,MA,BUY,-0.0395,-0.0405,1.2365696
baseline: always-long,2025-07-31,MA,BUY,0.0169,0.0159,1.256231
baseline: always-long,2025-10-30,MA,BUY,-0.0054,-0.0064,1.2481912
baseline: always-long,2026-01-29,MA,BUY,0.02,0.019,1.2719068
baseline: always-long,2026-02-01,NSRGY,BUY,0.0244,0.0234,1.3016694
baseline: always-long,2024-10-01,NSRGY,BUY,-0.0037,-0.0047,1.2955516
baseline: always-long,2026-05-01,SHEL,BUY,-0.0052,-0.0062,1.2875191
baseline: always-long,2025-08-01,SHEL,BUY,0.0047,0.0037,1.292283
baseline: always-long,2025-11-01,SHEL,BUY,-0.0009,-0.0019,1.2898276
baseline: always-long,2026-02-01,SHEL,BUY,-0.0129,-0.0139,1.271899
baseline: always-long,2026-05-05,SHOP,BUY,-0.0902,-0.0912,1.1559018
baseline: always-long,2025-11-04,SHOP,BUY,-0.0571,-0.0581,1.0887439
baseline: always-long,2026-02-11,SHOP,BUY,0.0916,0.0906,1.1873841
baseline: always-long,2026-08-01,SONY,BUY,-0.0241,-0.0251,1.1575808
baseline: always-long,2025-11-01,SONY,BUY,0.0029,0.0019,1.1597802
baseline: always-long,2026-02-01,SONY,BUY,-0.0005,-0.0015,1.1580405
baseline: always-long,2026-05-06,UNP,BUY,0.0054,0.0044,1.1631359
baseline: always-long,2025-08-21,UNP,BUY,-0.0009,-0.0019,1.1609259
baseline: always-long,2025-11-05,UNP,BUY,-0.0053,-0.0063,1.1536121
baseline: always-long,2026-02-04,UNP,BUY,0.0043,0.0033,1.157419
baseline: always-flat,2026-03-12,ADBE,HOLD,-0.077,-0.0,1.0
baseline: always-flat,2026-06-11,ADBE,HOLD,-0.075,-0.0,1.0
baseline: always-flat,2025-09-11,ADBE,HOLD,0.0301,0.0,1.0
baseline: always-flat,2025-12-10,ADBE,HOLD,-0.0043,-0.0,1.0
baseline: always-flat,2026-04-23,AXP,HOLD,-0.0021,-0.0,1.0
baseline: always-flat,2025-07-18,AXP,HOLD,-0.0111,-0.0,1.0
baseline: always-flat,2025-10-17,AXP,HOLD,0.0287,0.0,1.0
baseline: always-flat,2026-01-30,AXP,HOLD,-0.0098,-0.0,1.0
baseline: always-flat,2026-05-01,CVX,HOLD,-0.0104,-0.0,1.0
baseline: always-flat,2025-08-01,CVX,HOLD,0.0059,0.0,1.0
baseline: always-flat,2025-10-31,CVX,HOLD,0.0144,0.0,1.0
baseline: always-flat,2026-01-30,CVX,HOLD,0.0084,0.0,1.0
baseline: always-flat,2026-04-24,CL,HOLD,0.01,0.0,1.0
baseline: always-flat,2026-07-31,CL,HOLD,-0.0082,-0.0,1.0
baseline: always-flat,2025-10-31,CL,HOLD,-0.0125,-0.0,1.0
baseline: always-flat,2026-01-30,CL,HOLD,0.0406,0.0,1.0
baseline: always-flat,2025-12-11,COST,HOLD,-0.0013,-0.0,1.0
baseline: always-flat,2026-03-05,COST,HOLD,-0.0158,-0.0,1.0
baseline: always-flat,2026-05-28,COST,HOLD,-0.0087,-0.0,1.0
baseline: always-flat,2025-09-25,COST,HOLD,-0.0188,-0.0,1.0
baseline: always-flat,2026-05-07,DDOG,HOLD,0.3081,0.0,1.0
baseline: always-flat,2025-08-07,DDOG,HOLD,0.0788,0.0,1.0
baseline: always-flat,2025-11-06,DDOG,HOLD,0.1543,0.0,1.0
baseline: always-flat,2026-02-10,DDOG,HOLD,0.0892,0.0,1.0
baseline: always-flat,2023-05-09,DUK,HOLD,-0.0119,-0.0,1.0
baseline: always-flat,2024-05-07,DUK,HOLD,0.0058,0.0,1.0
baseline: always-flat,2025-05-06,DUK,HOLD,0.0104,0.0,1.0
baseline: always-flat,2026-05-05,DUK,HOLD,0.0114,0.0,1.0
baseline: always-flat,2023-08-08,DUK,HOLD,0.0069,0.0,1.0
baseline: always-flat,2024-08-06,DUK,HOLD,0.0133,0.0,1.0
baseline: always-flat,2025-08-05,DUK,HOLD,0.0225,0.0,1.0
baseline: always-flat,2023-11-02,DUK,HOLD,-0.0004,-0.0,1.0
baseline: always-flat,2024-11-07,DUK,HOLD,-0.0087,-0.0,1.0
baseline: always-flat,2025-11-07,DUK,HOLD,0.0008,0.0,1.0
baseline: always-flat,2024-02-08,DUK,HOLD,-0.008,-0.0,1.0
baseline: always-flat,2025-02-13,DUK,HOLD,-0.0092,-0.0,1.0
baseline: always-flat,2026-02-10,DUK,HOLD,0.0039,0.0,1.0
baseline: always-flat,2025-04-30,EBAY,HOLD,0.0277,0.0,1.0
baseline: always-flat,2026-04-29,EBAY,HOLD,-0.0358,-0.0,1.0
baseline: always-flat,2025-07-30,EBAY,HOLD,0.1372,0.0,1.0
baseline: always-flat,2025-10-29,EBAY,HOLD,-0.14,-0.0,1.0
baseline: always-flat,2023-04-28,XOM,HOLD,0.0036,0.0,1.0
baseline: always-flat,2024-04-26,XOM,HOLD,-0.0192,-0.0,1.0
baseline: always-flat,2025-05-02,XOM,HOLD,0.0183,0.0,1.0
baseline: always-flat,2026-05-01,XOM,HOLD,-0.0111,-0.0,1.0
baseline: always-flat,2023-07-28,XOM,HOLD,-0.0029,-0.0,1.0
baseline: always-flat,2024-08-02,XOM,HOLD,-0.0084,-0.0,1.0
baseline: always-flat,2025-08-01,XOM,HOLD,0.0032,0.0,1.0
baseline: always-flat,2023-10-27,XOM,HOLD,0.012,0.0,1.0
baseline: always-flat,2024-11-01,XOM,HOLD,0.027,0.0,1.0
baseline: always-flat,2025-10-31,XOM,HOLD,-0.0062,-0.0,1.0
baseline: always-flat,2024-02-02,XOM,HOLD,0.0133,0.0,1.0
baseline: always-flat,2025-01-31,XOM,HOLD,0.0089,0.0,1.0
baseline: always-flat,2026-01-30,XOM,HOLD,-0.0126,-0.0,1.0
baseline: always-flat,2026-04-23,FCX,HOLD,-0.115,-0.0,1.0
baseline: always-flat,2025-07-23,FCX,HOLD,-0.0249,-0.0,1.0
baseline: always-flat,2026-01-22,FCX,HOLD,0.0033,0.0,1.0
baseline: always-flat,2024-03-01,HEIA.AS,HOLD,0.0049,0.0,1.0
baseline: always-flat,2024-07-01,HEIA.AS,HOLD,0.0055,0.0,1.0
baseline: always-flat,2024-10-01,HEIA.AS,HOLD,0.0005,0.0,1.0
baseline: always-flat,2025-10-01,HEIA.AS,HOLD,-0.0027,-0.0,1.0
baseline: always-flat,2025-02-01,RMSP.XC,HOLD,0.0,0.0,1.0
baseline: always-flat,2025-07-01,RMSP.XC,HOLD,-0.0039,-0.0,1.0
baseline: always-flat,2025-10-01,RMSP.XC,HOLD,0.0026,0.0,1.0
baseline: always-flat,2026-02-01,RMSP.XC,HOLD,0.0,0.0,1.0
baseline: always-flat,2026-05-19,HD,HOLD,-0.0265,-0.0,1.0
baseline: always-flat,2025-08-19,HD,HOLD,0.016,0.0,1.0
baseline: always-flat,2025-11-18,HD,HOLD,-0.0504,-0.0,1.0
baseline: always-flat,2026-02-24,HD,HOLD,0.0321,0.0,1.0
baseline: always-flat,2026-04-23,INTC,HOLD,0.2309,0.0,1.0
baseline: always-flat,2025-07-24,INTC,HOLD,-0.0862,-0.0,1.0
baseline: always-flat,2025-10-23,INTC,HOLD,0.0487,0.0,1.0
baseline: always-flat,2026-01-22,INTC,HOLD,-0.1373,-0.0,1.0
baseline: always-flat,2026-04-30,MA,HOLD,-0.0395,-0.0,1.0
baseline: always-flat,2025-07-31,MA,HOLD,0.0169,0.0,1.0
baseline: always-flat,2025-10-30,MA,HOLD,-0.0054,-0.0,1.0
baseline: always-flat,2026-01-29,MA,HOLD,0.02,0.0,1.0
baseline: always-flat,2026-02-01,NSRGY,HOLD,0.0244,0.0,1.0
baseline: always-flat,2024-10-01,NSRGY,HOLD,-0.0037,-0.0,1.0
baseline: always-flat,2026-05-01,SHEL,HOLD,-0.0052,-0.0,1.0
baseline: always-flat,2025-08-01,SHEL,HOLD,0.0047,0.0,1.0
baseline: always-flat,2025-11-01,SHEL,HOLD,-0.0009,-0.0,1.0
baseline: always-flat,2026-02-01,SHEL,HOLD,-0.0129,-0.0,1.0
baseline: always-flat,2026-05-05,SHOP,HOLD,-0.0902,-0.0,1.0
baseline: always-flat,2025-11-04,SHOP,HOLD,-0.0571,-0.0,1.0
baseline: always-flat,2026-02-11,SHOP,HOLD,0.0916,0.0,1.0
baseline: always-flat,2026-08-01,SONY,HOLD,-0.0241,-0.0,1.0
baseline: always-flat,2025-11-01,SONY,HOLD,0.0029,0.0,1.0
baseline: always-flat,2026-02-01,SONY,HOLD,-0.0005,-0.0,1.0
baseline: always-flat,2026-05-06,UNP,HOLD,0.0054,0.0,1.0
baseline: always-flat,2025-08-21,UNP,HOLD,-0.0009,-0.0,1.0
baseline: always-flat,2025-11-05,UNP,HOLD,-0.0053,-0.0,1.0
baseline: always-flat,2026-02-04,UNP,HOLD,0.0043,0.0,1.0
