issuer,document_id,ticker,report_date,micro_score,macro_score,news_score,quant_score,forward_return,window_trading_days,outcome_label,predicted_signal_default,correct_default,predicted_signal_tuned,correct_tuned,tuned_hold_upper,blend_predicted_signal_default,blend_correct_default,blend_predicted_signal_tuned,blend_correct_tuned,blend_tuned_weights
boeing,BA_FQ1_2023,BA,2023-04-26,-0.15,,,-0.263526,-0.010343,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ1_2024,BA,2024-04-24,-0.5,,,0.085594,0.043388,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ1_2025,BA,2025-04-23,0.2,-0.3,0.3,0.230633,0.063062,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ2_2023,BA,2023-07-26,0.2,,,0.296776,-0.0061,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ2_2024,BA,2024-07-31,-0.5,,,-0.383794,-0.143547,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ2_2025,BA,2025-07-29,0.25,0.1,0.2,0.449476,-0.005396,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ3_2023,BA,2023-10-25,-0.5,,,-0.631401,0.065549,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ3_2024,BA,2024-10-23,-0.85,,,-0.252421,-0.017637,5,HOLD,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ3_2025,BA,2025-10-29,-0.5,0.3,0.3,-0.405191,-0.074726,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2022,BA,2023-01-25,0.2,,,-0.252169,0.009733,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2023,BA,2024-01-31,-0.5,,,0.006107,0.00417,5,HOLD,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2024,BA,2025-01-28,-0.5,,,-0.536201,-0.008719,5,HOLD,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
boeing,BA_FQ4_2025,BA,2026-01-27,0.25,0.25,-0.15,0.874543,-0.046655,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2023,JPM,2023-04-14,0.3,,,0.237691,0.013047,5,HOLD,BUY,False,BUY,False,0.25,BUY,False,BUY,False,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2024,JPM,2024-04-12,0.0,,,0.259841,0.016467,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ1_2025,JPM,2025-04-11,-0.5,-0.3,-0.25,0.18415,-0.030525,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ2_2023,JPM,2023-07-14,0.3,,,0.591176,0.034586,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ2_2024,JPM,2024-07-12,0.0,,,0.479563,0.023617,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ2_2025,JPM,2025-07-15,0.15,0.1,-0.1,0.449048,0.01703,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ3_2023,JPM,2023-10-13,-0.15,,,0.183615,-0.034121,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ3_2024,JPM,2024-10-11,-0.15,,,0.293027,0.013856,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ3_2025,JPM,2025-10-14,0.15,0.3,-0.15,0.107265,-0.016519,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ4_2022,JPM,2023-01-13,0.2,,,0.420882,-0.040137,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ4_2023,JPM,2024-01-12,-0.15,,,-0.041386,0.00627,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ4_2024,JPM,2025-01-15,0.15,,,0.393591,0.053894,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
jpm,JPM_FQ4_2025,JPM,2026-01-13,0.1,0.25,0.1,0.08644,-0.028498,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ1_2023,NFLX,2023-04-18,0.25,,,0.235202,-0.033413,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ1_2024,NFLX,2024-04-18,0.2,,,0.265991,-0.074948,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ1_2026,NFLX,2026-04-16,0.15,-0.3,-0.15,0.217062,-0.138881,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ2_2023,NFLX,2023-07-19,0.3,,,0.481312,-0.114994,5,SELL,BUY,False,BUY,False,0.25,BUY,False,BUY,False,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ2_2024,NFLX,2024-07-18,0.3,,,-0.058214,-0.013918,5,HOLD,BUY,False,BUY,False,0.25,BUY,False,BUY,False,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ2_2025,NFLX,2025-07-17,0.3,0.1,-0.3,0.142344,-0.07331,5,SELL,BUY,False,BUY,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ3_2023,NFLX,2023-10-18,0.3,,,-0.155491,0.187932,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ3_2024,NFLX,2024-10-17,0.3,,,0.081686,0.097288,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ3_2025,NFLX,2025-10-21,0.15,0.3,-0.15,-0.248131,-0.111854,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ4_2022,NFLX,2023-01-19,0.3,,,-0.158784,0.155456,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ4_2023,NFLX,2024-01-23,0.25,,,-0.157202,0.143562,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ4_2024,NFLX,2025-01-21,0.3,,,-0.177804,0.117457,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
netflix,NFLX_FQ4_2025,NFLX,2026-01-20,0.3,0.25,-0.3,-0.187754,-0.019253,5,HOLD,BUY,False,BUY,False,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ1_2023,BAC,2023-04-18,0.15,,,0.408684,-0.056283,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ1_2024,BAC,2024-04-16,0.25,,,-0.012468,0.106401,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ1_2025,BAC,2025-04-15,0.15,-0.3,0.3,-0.095863,0.020005,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ2_2023,BAC,2023-07-18,0.2,,,0.142551,0.047231,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ2_2024,BAC,2024-07-16,0.25,,,0.269378,-0.038976,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ2_2025,BAC,2025-07-16,0.2,0.1,-0.2,0.184051,0.04584,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ3_2023,BAC,2023-10-17,0.2,,,-0.010847,-0.077842,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ3_2024,BAC,2024-10-15,0.25,,,0.378995,0.003797,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ3_2025,BAC,2025-10-15,0.2,0.3,-0.15,0.181002,-0.022571,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ4_2022,BAC,2023-01-13,0.1,,,0.369787,-0.02583,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ4_2023,BAC,2024-01-12,0.15,,,-0.244808,-0.007622,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ4_2024,BAC,2025-01-16,0.3,,,0.206739,-0.002573,5,HOLD,BUY,False,BUY,False,0.25,BUY,False,BUY,False,"(0.8, 0.0, 0.2, -0.0)"
bank_of_america,BAC_FQ4_2025,BAC,2026-01-14,0.3,0.25,-0.15,0.04326,-0.000572,5,HOLD,BUY,False,BUY,False,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ1_2023,DIS,2023-02-08,0.25,,,0.813838,-0.022723,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ1_2024,DIS,2024-02-07,0.3,,,0.585344,0.125277,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ1_2025,DIS,2025-02-05,0.2,,0.2,0.436427,-0.011851,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ2_2023,DIS,2023-05-10,0.25,,,0.026985,-0.082757,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ2_2024,DIS,2024-05-07,0.3,,,0.132966,-0.00038,5,HOLD,BUY,False,BUY,False,0.25,BUY,False,BUY,False,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ2_2025,DIS,2025-05-07,0.5,-0.3,-0.15,0.628511,0.106279,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ3_2023,DIS,2023-08-09,0.25,,,0.13332,-0.01303,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ3_2024,DIS,2024-08-07,0.25,,,0.053911,0.003955,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ3_2025,DIS,2025-08-06,0.25,0.1,0.25,0.083693,0.012764,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ4_2022,DIS,2022-11-08,0.25,,,-0.366673,-0.043944,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ4_2023,DIS,2023-11-08,0.3,,,0.265757,0.111598,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ4_2024,DIS,2024-11-14,0.3,,,0.323812,0.05132,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
disney,DIS_FQ4_2025,DIS,2025-11-13,0.3,0.3,0.1,0.320952,-0.045628,5,SELL,BUY,False,BUY,False,0.25,BUY,False,BUY,False,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ1_2023,TGT,2023-05-17,-0.5,,,0.168422,-0.110959,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ1_2024,TGT,2024-05-22,0.15,,,-0.218684,0.046067,5,BUY,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ1_2025,TGT,2025-05-21,-0.5,-0.3,0.2,-0.160812,0.019998,5,HOLD,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ1_2026,TGT,2026-05-20,0.3,-0.3,0.1,0.25538,0.051663,5,BUY,BUY,True,BUY,True,0.25,BUY,True,BUY,True,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ2_2023,TGT,2023-08-16,-0.5,,,0.297096,-0.043029,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ2_2024,TGT,2024-08-21,0.3,,,0.161447,-0.015008,5,HOLD,BUY,False,BUY,False,0.25,BUY,False,BUY,False,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ2_2025,TGT,2025-08-20,0.0,0.0,-0.25,0.168491,-0.007397,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ3_2023,TGT,2023-11-15,0.0,,,0.482576,0.000306,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ3_2024,TGT,2024-11-20,-0.5,,,-0.21647,0.068764,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ3_2025,TGT,2025-11-19,-0.5,0.1,-0.3,0.012891,0.043216,5,BUY,SELL,False,SELL,False,0.25,SELL,False,SELL,False,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ4_2022,TGT,2023-02-28,-0.5,,,0.459412,-0.033709,5,SELL,SELL,True,SELL,True,0.25,SELL,True,SELL,True,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ4_2023,TGT,2024-03-05,0.25,,,0.527799,-0.005991,5,HOLD,HOLD,True,HOLD,True,0.25,HOLD,True,HOLD,True,"(0.8, 0.0, 0.2, -0.0)"
target,TGT_FQ4_2024,TGT,2025-03-04,-0.1,0.0,,-0.217159,-0.037391,5,SELL,HOLD,False,HOLD,False,0.25,HOLD,False,HOLD,False,"(0.8, 0.0, 0.2, -0.0)"
