issuer,document_id,ticker,report_date,micro_score,macro_score,news_score,quant_score,forward_return,window_trading_days,outcome_label,predicted_signal_default,correct_default,predicted_signal_tuned,correct_tuned,tuned_hold_upper,blend_predicted_signal_default,blend_correct_default,blend_predicted_signal_tuned,blend_correct_tuned,blend_tuned_weights
p2_airbnb,ABNB_FQ1_2026,ABNB,2026-05-07,0.5,-0.3,,0.074814,-0.048341,5,SELL,BUY,False,BUY,False,0.3,BUY,False,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_airbnb,ABNB_FQ2_2025,ABNB,2025-08-06,0.15,0.1,,0.014899,-0.045594,5,SELL,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_airbnb,ABNB_FQ3_2025,ABNB,2025-11-06,0.3,0.3,,-0.020892,0.005476,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.2, 0.0, 0.0, 0.8)"
p2_airbnb,ABNB_FQ4_2025,ABNB,2026-02-12,0.35,0.25,,-0.638827,0.10288,5,BUY,BUY,True,BUY,True,0.3,BUY,True,SELL,False,"(0.2, 0.0, 0.0, 0.8)"
p2_amazon,AMZN_FQ1_2026,AMZN,2026-04-29,0.8,-0.3,,0.978678,0.04543,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.2, 0.0, 0.0, 0.8)"
p2_amazon,AMZN_FQ3_2025,AMZN,2025-10-30,-0.55,0.3,,0.539832,0.09055,5,BUY,SELL,False,SELL,False,0.3,SELL,False,BUY,True,"(0.2, 0.0, 0.0, 0.8)"
p2_amazon,AMZN_FQ4_2025,AMZN,2026-02-05,-0.3,0.25,,0.003399,-0.103687,5,SELL,SELL,True,HOLD,False,0.3,SELL,True,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_amd,AMD_FQ1_2026,AMD,2026-05-05,0.8,-0.3,,0.613844,0.261865,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.2, 0.0, 0.0, 0.8)"
p2_amd,AMD_FQ2_2025,AMD,2025-08-05,-0.5,0.1,,0.466203,0.003672,5,HOLD,SELL,False,SELL,False,0.3,SELL,False,BUY,False,"(0.0, 0.0, 0.2, 0.8)"
p2_amd,AMD_FQ4_2025,AMD,2026-02-03,0.75,0.25,,0.662883,-0.11788,5,SELL,BUY,False,BUY,False,0.3,BUY,False,BUY,False,"(0.2, 0.0, 0.0, 0.8)"
p2_apple,AAPL_FQ1_2026,AAPL,2026-01-29,0.3,0.25,,-0.073285,0.068259,5,BUY,BUY,True,HOLD,False,0.3,BUY,True,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_apple,AAPL_FQ3_2025,AAPL,2025-07-31,0.1,0.1,,0.243711,0.060028,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_apple,AAPL_FQ4_2025,AAPL,2025-10-30,0.35,0.3,,0.277069,-0.006006,5,HOLD,BUY,False,BUY,False,0.3,BUY,False,BUY,False,"(0.2, 0.0, 0.2, 0.6)"
p2_bank_of_america,BAC_FQ1_2025,BAC,2025-04-15,0.0,-0.3,,-0.095862,0.020005,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.2, 0.0, 0.0, 0.8)"
p2_bank_of_america,BAC_FQ2_2025,BAC,2025-07-16,0.15,0.1,,0.184051,0.04584,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_bank_of_america,BAC_FQ3_2025,BAC,2025-10-15,0.3,0.3,,0.181002,-0.022571,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.2, 0.0, 0.0, 0.8)"
p2_bank_of_america,BAC_FQ4_2025,BAC,2026-01-14,0.25,0.25,,0.04326,-0.000572,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,HOLD,True,"(0.2, 0.0, 0.0, 0.8)"
p2_boeing,BA_FQ1_2025,BA,2025-04-23,0.25,-0.3,,0.230633,0.063062,5,BUY,HOLD,False,HOLD,False,0.3,HOLD,False,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_boeing,BA_FQ2_2025,BA,2025-07-29,0.2,0.1,,0.449476,-0.005396,5,HOLD,HOLD,True,HOLD,True,0.3,HOLD,True,BUY,False,"(0.2, 0.0, 0.0, 0.8)"
p2_boeing,BA_FQ3_2025,BA,2025-10-29,-0.5,0.3,,-0.405191,-0.074726,5,SELL,SELL,True,SELL,True,0.3,SELL,True,SELL,True,"(0.2, 0.0, 0.0, 0.8)"
p2_cvs_health,CVS_FQ1_2026,CVS,2026-05-06,0.55,-0.3,,0.603052,0.129519,5,BUY,BUY,True,BUY,True,0.3,BUY,True,BUY,True,"(0.2, 0.0, 0.0, 0.8)"
p2_charles_schwab,SCHW_FQ1_2025,SCHW,2025-04-17,0.3,-0.3,,-0.016201,0.04977,5,BUY,BUY,True,HOLD,False,0.3,BUY,True,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_charles_schwab,SCHW_FQ1_2026,SCHW,2026-04-16,0.3,-0.3,,0.26966,-0.039948,5,SELL,BUY,False,HOLD,False,0.3,BUY,False,HOLD,False,"(0.2, 0.0, 0.0, 0.8)"
p2_charles_schwab,SCHW_FQ2_2025,SCHW,2025-07-18,0.3,0.1,,0.225592,0.013152,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.2, 0.0, 0.0, 0.8)"
p2_charles_schwab,SCHW_FQ3_2025,SCHW,2025-10-16,0.3,0.3,,0.221258,0.01274,5,HOLD,BUY,False,HOLD,True,0.3,BUY,False,HOLD,True,"(0.2, 0.0, 0.0, 0.8)"
