statistic,value,n,definition,event_set,convention,test,source_files
human_call_buy_count,96,171,Number of BUY calls by human arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_buy_frac,0.5614,171,Fraction of BUY calls by human arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_hold_count,40,171,Number of HOLD calls by human arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_hold_frac,0.2339,171,Fraction of HOLD calls by human arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_sell_count,35,171,Number of SELL calls by human arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_call_sell_frac,0.2047,171,Fraction of SELL calls by human arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_buy_count,42,171,Number of BUY calls by llm arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_buy_frac,0.2456,171,Fraction of BUY calls by llm arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_hold_count,69,171,Number of HOLD calls by llm arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_hold_frac,0.4035,171,Fraction of HOLD calls by llm arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_sell_count,60,171,Number of SELL calls by llm arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_call_sell_frac,0.3509,171,Fraction of SELL calls by llm arm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_traded_count,131,171,Events where human called BUY or SELL,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_graded_count,79,131,Traded events with |ret_overnight| > 2%,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_correct_count,45,79,Graded events where call matches return sign,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_accuracy,0.5696,79,correct / graded for human,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_traded_count,102,171,Events where llm called BUY or SELL,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_graded_count,58,102,Traded events with |ret_overnight| > 2%,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_correct_count,40,58,Graded events where call matches return sign,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_accuracy,0.6897,58,correct / graded for llm,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
always_buy_baseline_graded,0.3939,99,Fraction with ret > 0 among events with |ret| > 2%,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
always_buy_baseline_graded_count,39/99,99,always-BUY correct / total graded events,"N=171 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_n,48,48,Events where both arms traded and |ret|>2%,N=48 events where both arms traded AND |ret|>2%,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_llm_correct,31,48,LLM correct in paired graded set,N=48 events where both arms traded AND |ret|>2%,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_llm_accuracy,0.6458,48,,N=48 events where both arms traded AND |ret|>2%,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_human_correct,28,48,Human correct in paired graded set,N=48 events where both arms traded AND |ret|>2%,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_human_accuracy,0.5833,48,,N=48 events where both arms traded AND |ret|>2%,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_diff_pp,6.2,48,LLM accuracy - Human accuracy (pp),N=48 events where both arms traded AND |ret|>2%,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_90ci_low_pp,-8.3,48,,N=48 events where both arms traded AND |ret|>2%,,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_90ci_high_pp,20.8,48,,N=48 events where both arms traded AND |ret|>2%,,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_p_value,0.538,48,,N=48 events where both arms traded AND |ret|>2%,,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_mde_pp,27,48,MDE = 2*1.96*sqrt(p*(1-p)/n) in pp,N=48 events where both arms traded AND |ret|>2%,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_only_n,76,76,Events where both arms called BUY or SELL,N=76 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sign_accuracy,0.5789,76,Human sign accuracy (call matches ret sign),N=76 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sign_correct,44/76,76,,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sign_accuracy,0.6053,76,LLM sign accuracy (call matches ret sign),N=76 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sign_correct,46/76,76,,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_always_buy_accuracy,0.4342,76,Fraction with ret > 0,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_always_buy_correct,33/76,76,,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_always_down_accuracy,0.5658,76,Fraction with ret <= 0 (zero counted as DOWN),N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_always_down_correct,43/76,76,,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_n_zero_return,1,76,Events with exactly zero overnight return,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_minus_human_pp,2.6,76,LLM sign accuracy - Human sign accuracy (pp),N=76 events where both arms called BUY or SELL (direction-only),,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_90ci_low_pp,-7.9,76,,N=76 events where both arms called BUY or SELL (direction-only),,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_90ci_high_pp,13.2,76,,N=76 events where both arms called BUY or SELL (direction-only),,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_p_value,0.750,76,,N=76 events where both arms called BUY or SELL (direction-only),,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_vs_always_down_p,0.366,76,Human sign accuracy vs always-DOWN rate (strict negative),N=76 events where both arms called BUY or SELL (direction-only),,"binomial test one-sided greater, p0=0.5526",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_vs_always_down_p,0.210,76,LLM sign accuracy vs always-DOWN rate (strict negative),N=76 events where both arms called BUY or SELL (direction-only),,"binomial test one-sided greater, p0=0.5526",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_mde_pp,22,76,MDE = 2*1.96*sqrt(p*(1-p)/n) in pp,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_buy_accuracy,0.5094,53,human BUY accuracy (fraction correct among BUY calls),N=76 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_buy_correct,27/53,53,,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_buy_vs_50pct_p,0.500,53,,N=76 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_buy_vs_base_rate_p,0.167,53,vs overall positive rate = 0.4342,N=76 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.4342",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sell_accuracy,0.7391,23,human SELL accuracy (fraction correct among SELL calls),N=76 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sell_correct,17/23,23,,N=76 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
