label,n_windows,degenerate_windows,n_trades,n_graded,n_correct,accuracy,mean_net_pct,majority_direction_floor,margin_vs_floor_pp,binomial_p,mde_pp
calendar_quarter / mean_net(floor=10%),4,3,15,13,7,0.5385,1.0871,0.5385,0.0,0.6115,41.5
calendar_quarter / mean_net(floor=15%),4,2,20,14,8,0.5714,2.0252,0.5714,0.0,0.6105,39.7
calendar_quarter / mean_net(floor=20%),4,2,20,14,8,0.5714,2.0252,0.5714,0.0,0.6105,39.7
"calendar_quarter / accuracy(floor=15%, fixed)",4,1,38,26,17,0.6538,1.89,0.6538,0.0,0.5894,28.0
equal_count_2w / mean_net(floor=10%),2,0,24,18,12,0.6667,3.993,0.6111,5.6,0.4117,34.5
equal_count_2w / mean_net(floor=15%),2,0,24,18,12,0.6667,3.993,0.6111,5.6,0.4117,34.5
equal_count_2w / mean_net(floor=20%),2,0,24,18,12,0.6667,3.993,0.6111,5.6,0.4117,34.5
"equal_count_2w / accuracy(floor=15%, fixed)",2,0,35,25,15,0.6,2.2569,0.52,8.0,0.2751,30.0
equal_count_3w / mean_net(floor=10%),3,1,21,15,9,0.6,3.4556,0.5333,6.7,0.4006,38.7
equal_count_3w / mean_net(floor=15%),3,1,21,15,9,0.6,3.4556,0.5333,6.7,0.4006,38.7
equal_count_3w / mean_net(floor=20%),3,1,21,15,9,0.6,3.4556,0.5333,6.7,0.4006,38.7
"equal_count_3w / accuracy(floor=15%, fixed)",3,0,33,21,14,0.6667,3.0478,0.5714,9.5,0.2567,32.4
equal_count_4w / mean_net(floor=10%),4,1,22,16,10,0.625,3.4948,0.5625,6.2,0.405,37.3
equal_count_4w / mean_net(floor=15%),4,1,22,16,10,0.625,3.4948,0.5625,6.2,0.405,37.3
equal_count_4w / mean_net(floor=20%),4,1,22,16,10,0.625,3.4948,0.5625,6.2,0.405,37.3
"equal_count_4w / accuracy(floor=15%, fixed)",4,0,30,19,12,0.6316,3.0701,0.5789,5.3,0.4132,34.0
equal_count_5w / mean_net(floor=10%),5,3,21,16,10,0.625,3.6191,0.5625,6.2,0.405,37.3
equal_count_5w / mean_net(floor=15%),5,3,22,16,10,0.625,3.4948,0.5625,6.2,0.405,37.3
equal_count_5w / mean_net(floor=20%),5,3,22,16,10,0.625,3.4948,0.5625,6.2,0.405,37.3
"equal_count_5w / accuracy(floor=15%, fixed)",5,1,33,23,16,0.6957,3.5505,0.6522,4.3,0.4222,29.8
