# Report date audit: report_date vs EDGAR-verified release date
# Generated: 2026-08-12
# Source: EDGAR 8-K Item 2.02 (US filers) and 6-K (Spotify)
# Non-US issuers and LMT are excluded (no EDGAR 8-K)
#
document_id,ticker,issuer,report_date,verified_release_date,gap_days,direction,primary_document
AAPL_FQ1_2026,AAPL,p2_apple,2026-01-29,2026-01-29,0,match,aapl-20260129.htm
AAPL_FQ3_2025,AAPL,p2_apple,2025-07-31,2025-07-31,0,match,aapl-20250731.htm
AAPL_FQ4_2025,AAPL,p2_apple,2025-10-30,2025-10-30,0,match,aapl-20251030.htm
ABNB_FQ1_2026,ABNB,p2_airbnb,2026-05-07,2026-05-07,0,match,d23351d8k.htm
ABNB_FQ2_2025,ABNB,p2_airbnb,2025-08-06,2025-08-06,0,match,d17531d8k.htm
ABNB_FQ3_2025,ABNB,p2_airbnb,2025-11-06,2025-11-06,0,match,d40503d8k.htm
ABNB_FQ4_2025,ABNB,p2_airbnb,2026-02-12,2026-02-12,0,match,d58192d8k.htm
AMD_FQ1_2026,AMD,p2_amd,2026-05-05,2026-05-05,0,match,amd-20260505.htm
AMD_FQ2_2025,AMD,p2_amd,2025-08-05,2025-08-05,0,match,amd-20250805.htm
AMD_FQ4_2025,AMD,p2_amd,2026-02-03,2026-02-03,0,match,amd-20260203.htm
AMZN_FQ1_2026,AMZN,p2_amazon,2026-04-29,2026-04-29,0,match,amzn-20260429.htm
AMZN_FQ3_2025,AMZN,p2_amazon,2025-10-30,2025-10-30,0,match,amzn-20251030.htm
AMZN_FQ4_2025,AMZN,p2_amazon,2026-02-05,2026-02-05,0,match,amzn-20260205.htm
AVGO_FQ1_2026,AVGO,p2_broadcom,2026-03-04,2026-03-04,0,match,avgo-20260304.htm
AVGO_FQ3_2025,AVGO,p2_broadcom,2025-09-04,2025-09-04,0,match,avgo-20250904.htm
AVGO_FQ4_2025,AVGO,p2_broadcom,2025-12-11,2025-12-11,0,match,avgo-20251211.htm
