document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
PEP_FQ1_2023,PEP,2023-04-25,2023-04-25,189.71,-0.006484,-0.006167,0.00622,0.013389,0.023351,-0.00806,-0.001932,-0.018036,0.001667,0.011408,20260811_201225
PEP_FQ1_2024,PEP,2024-04-23,2024-04-23,171.22,-0.015886,0.036152,0.025464,0.027392,0.039715,-0.017686,0.036627,0.020303,0.03465,0.016992,20260811_201225
PEP_FQ1_2025,PEP,2025-04-24,2025-04-24,135.31,0.001182,-0.014263,-0.00739,-0.013007,-0.028675,0.001256,-0.021489,-0.021347,-0.034555,-0.062277,20260811_201225
PEP_FQ1_2026,PEP,2026-04-16,2026-04-16,158.38,-0.000758,-0.004483,-0.021846,-0.016921,0.000695,-0.007143,-0.016569,-0.025295,-0.026598,-0.023534,20260811_201225
PEP_FQ2_2023,PEP,2023-07-13,2023-07-13,187.53,0.00176,0.003626,-0.016424,0.009439,0.005332,-0.000287,0.004249,-0.026723,0.003611,-0.001185,20260811_201225
PEP_FQ2_2024,PEP,2024-07-11,2024-07-11,163.95,0.00616,0.014822,0.004941,0.039158,0.043123,0.004094,0.008514,-0.010118,0.046023,0.075595,20260811_201225
PEP_FQ2_2025,PEP,2025-07-17,2025-07-17,145.44,0.005638,-0.015126,0.004125,-0.006394,-0.051705,0.003632,-0.014394,0.00282,-0.016553,-0.058138,20260811_201225
PEP_FQ2_2026,PEP,2026-07-09,2026-07-09,137.86,-0.014507,-0.003482,-0.017482,0.011388,-0.021108,-0.01496,-0.007792,-0.017641,0.012705,-0.003109,20260811_201225
PEP_FQ3_2023,PEP,2023-10-10,2023-10-10,164.4,0.00371,-0.010827,-0.026764,-0.024513,-0.013443,0.001179,-0.014924,-0.019768,-0.027919,0.011664,20260811_201225
PEP_FQ3_2024,PEP,2024-10-08,2024-10-08,170.42,-0.006103,0.01244,0.02576,0.032156,0.023178,-0.006085,0.005513,0.014576,0.020623,0.005469,20260811_201225
PEP_FQ3_2025,PEP,2025-10-09,2025-10-09,144.71,0.006358,0.037109,0.047198,0.055007,0.04699,0.004912,0.064136,0.060503,0.070681,0.046096,20260811_201225
PEP_FQ4_2023,PEP,2024-02-09,2024-02-09,167.67,0.001133,0.017534,-0.000895,-0.008051,0.003519,0.001193,0.017973,0.004353,-0.00468,-0.006038,20260811_201225
PEP_FQ4_2024,PEP,2025-02-04,2025-02-04,143.49,-0.000697,0.015123,0.007596,0.014984,0.016168,0.001197,0.011068,0.009275,0.009118,-0.00236,20260811_201225
PEP_FQ4_2025,PEP,2026-02-03,2026-02-03,162.85,0.012527,0.020448,0.046914,0.025299,0.009457,0.011338,0.025292,0.045334,0.021543,0.014155,20260811_201225
