# sector_analysis_2026-08-15.csv
# Generated: 2026-08-15
# TAXONOMY DECISION (2026-08-15): canonical taxonomy = SECTORS dict in phase2/build_manifests.py
# Divergent events (old classification per sector_breakdown_three_sets.csv -> new per SECTORS dict):
# CVS_FQ1_2026 (ticker: CVS): Consumer -> Healthcare (sector_breakdown_three_sets.csv placed CVS in Consumer; SECTORS dict places p2_cvs_health as Healthcare/Consumer, classified Healthcare by this analysis)
# CVS_FQ2_2025 (ticker: CVS): Consumer -> Healthcare (same as above)
# CVS_FQ3_2025 (ticker: CVS): Consumer -> Healthcare (same as above)
# CVS_FQ4_2025 (ticker: CVS): Consumer -> Healthcare (same as above)
# These 4 events account for the entire Consumer -4 / Healthcare +4 discrepancy between the two files.
# No other sector-level divergences exist: Technology, Financials, Industrials, Communication Services, and Materials all agree on n across both files (Set A).
# Note on LMT: sector_breakdown_three_sets.csv lists LMT in its Healthcare notes text, but the actual n=14 count for Healthcare in that file is consistent with LMT being counted in Industrials (n=26, same as new analysis). The notes text listing LMT under Healthcare is a copy-paste error in sector_breakdown_three_sets.csv; the counts themselves are correct. LMT is in Industrials in both files.
# sector_breakdown_three_sets.csv has not been modified; see sector_analysis_2026-08-15.md for full decision record.
# Source files:
#   - outputs/global/summary/global_outcome_calibration_phase2.csv (Set A: N=233 clean phase2 events)
#   - outputs/global/summary/global_outcome_calibration_extension_2026_08_13.csv (Set B: N=93 extension events)
#   - outputs/global/summary/finbert_extension_results.csv (FinBERT scores for Set B)
#   - outputs/global/summary/returns_matrix.csv (overnight returns, timing_excluded flag)
#   - phase2/build_manifests.py SECTORS dict (sector taxonomy source for Set A)
#   - outputs/global/summary/sector_breakdown_three_sets.csv (sector taxonomy source for Set B)
# Sector taxonomy: broad categories collapsed from SECTORS dict in phase2/build_manifests.py
#   (Note: LMT placed in Industrials per SECTORS dict; sector_breakdown_three_sets.csv placed it in Healthcare)
# Suppression threshold: n < 10 events (for Spearman rho and BUY/SELL accuracy columns; NOT applied to means)
# Arm definitions:
#   LLM: blended sentiment score = 0.55*micro_score + 0.45*macro_score (renormalized if macro missing)
#        deployed default weights from blend.py DEFAULT_WEIGHTS = (0.55, 0.45, 0.0, 0.0)
#        signal from blend_predicted_signal_default (hold_upper=0.25, hold_lower=-0.05)
#   FinBERT: raw FinBERT sentiment score from finbert_extension_results.csv (Set B only)
#            signal from finbert_predicted_signal (thresholds from phase2 dev, frozen for eval)
# Event sets:
#   Set A: N=233 clean phase2 events (268 scored, 35 excluded: 25 worksheet contamination + 1 SPOT misattribution + 9 timing)
#   Set B: N=93 extension events (pure eval; thresholds frozen from Set A dev split)
# Return used: ret_overnight = raw overnight gap (prior_close -> next_day_open), from returns_matrix.csv
# Grading band: |ret_overnight| > 2% (pre-registered)
# Pooled reference: Set A Spearman rho = 0.2360, p = 0.0002, n = 233 (source: ext2_holding_curve.csv)
#                   Set B Spearman rho = 0.2715, p = 0.0085, n = 93 (source: results_three_sets.csv)
# Cut definitions:
#   spearman_rho: Spearman rank correlation between continuous arm score and ret_overnight
#   calibration: mean(score) and mean(ret_overnight) per sector — systematic bias check
#   dispersion: population std of score, plus HOLD rate (fraction with signal==HOLD)
#   sell_buy_asymmetry: accuracy on BUY/SELL calls separately (n_correct/n_calls); base_rate = fraction of events with that outcome
# IMPORTANT: all figures are PURELY DESCRIPTIVE. No significance claims are made. Per-sector n is too small for inference.
sector,event_set,arm,cut,metric,n,value,suppressed,notes
Communication Services,Set A,LLM,spearman_rho,rho,19,0.284836,False,
Communication Services,Set A,LLM,spearman_rho,p_value,19,0.220514,False,
Communication Services,Set A,LLM,spearman_rho,n,19,19,False,
Communication Services,Set A,LLM,calibration,mean_score,19,0.109079,False,
Communication Services,Set A,LLM,calibration,mean_ret,19,0.00348995,False,
Communication Services,Set A,LLM,calibration,n,19,19,False,
Communication Services,Set A,LLM,dispersion,score_std,19,0.176762,False,population std
Communication Services,Set A,LLM,dispersion,hold_rate,19,0.421053,False,
Communication Services,Set A,LLM,dispersion,n,19,19,False,
Communication Services,Set A,LLM,sell_buy_asymmetry,buy_accuracy,5,,True,n_calls=5 < 10
Communication Services,Set A,LLM,sell_buy_asymmetry,buy_n_calls,5,5,False,
Communication Services,Set A,LLM,sell_buy_asymmetry,buy_base_rate,19,0.421053,False,
Communication Services,Set A,LLM,sell_buy_asymmetry,sell_accuracy,6,,True,n_calls=6 < 10
Communication Services,Set A,LLM,sell_buy_asymmetry,sell_n_calls,6,6,False,
Communication Services,Set A,LLM,sell_buy_asymmetry,sell_base_rate,19,0.526316,False,
Consumer,Set A,LLM,spearman_rho,rho,82,0.255262,False,
Consumer,Set A,LLM,spearman_rho,p_value,82,0.0182082,False,
Consumer,Set A,LLM,spearman_rho,n,82,82,False,
Consumer,Set A,LLM,calibration,mean_score,82,-0.0222256,False,
Consumer,Set A,LLM,calibration,mean_ret,82,-0.0113421,False,
Consumer,Set A,LLM,calibration,n,82,82,False,
Consumer,Set A,LLM,dispersion,score_std,82,0.266071,False,population std
Consumer,Set A,LLM,dispersion,hold_rate,82,0.365854,False,
Consumer,Set A,LLM,dispersion,n,82,82,False,
Consumer,Set A,LLM,sell_buy_asymmetry,buy_accuracy,13,0.384615,False,
Consumer,Set A,LLM,sell_buy_asymmetry,buy_n_calls,13,13,False,
Consumer,Set A,LLM,sell_buy_asymmetry,buy_base_rate,82,0.195122,False,
Consumer,Set A,LLM,sell_buy_asymmetry,sell_accuracy,39,0.461538,False,
Consumer,Set A,LLM,sell_buy_asymmetry,sell_n_calls,39,39,False,
Consumer,Set A,LLM,sell_buy_asymmetry,sell_base_rate,82,0.378049,False,
Consumer,Set B,LLM,spearman_rho,rho,26,0.118734,False,
Consumer,Set B,LLM,spearman_rho,p_value,26,0.557997,False,
Consumer,Set B,LLM,spearman_rho,n,26,26,False,
Consumer,Set B,FinBERT,spearman_rho,rho,26,-0.111111,False,
Consumer,Set B,FinBERT,spearman_rho,p_value,26,0.583882,False,
Consumer,Set B,FinBERT,spearman_rho,n,26,26,False,
Consumer,Set B,LLM,calibration,mean_score,26,0.0130769,False,
Consumer,Set B,LLM,calibration,mean_ret,26,-0.00112592,False,
Consumer,Set B,LLM,calibration,n,26,26,False,
Consumer,Set B,FinBERT,calibration,mean_score,26,0.169209,False,
Consumer,Set B,FinBERT,calibration,mean_ret,26,-0.00112592,False,
Consumer,Set B,FinBERT,calibration,n,26,26,False,
Consumer,Set B,LLM,dispersion,score_std,26,0.168366,False,population std
Consumer,Set B,LLM,dispersion,hold_rate,26,0.615385,False,
Consumer,Set B,LLM,dispersion,n,26,26,False,
Consumer,Set B,FinBERT,dispersion,score_std,26,0.157913,False,population std
Consumer,Set B,FinBERT,dispersion,hold_rate,26,0.384615,False,
Consumer,Set B,FinBERT,dispersion,n,26,26,False,
Consumer,Set B,LLM,sell_buy_asymmetry,buy_accuracy,1,,True,n_calls=1 < 10
