run_id,document_id,issuer,company,ticker,fiscal_period,report_date,source_pdf,model,prompt,input_tokens,output_tokens,total_tokens,cached_input,estimated_cost_usd,latency_seconds,signal,signal_mismatch,sentiment_score,ensemble_runs,status
20260813T220233Z,DUK_FQ1_2023,p2_duke_energy,Duke Energy,DUK,FQ1 2023,2023-05-09,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2023-Q1/DUK_Q1_2023_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,25575,1800,27375,False,0.003791,10.89,HOLD,False,0.0,,success
20260813T220233Z,DUK_FQ2_2023,p2_duke_energy,Duke Energy,DUK,FQ2 2023,2023-08-08,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2023-Q2/DUK_Q2_2023_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,44223,1771,45994,True,0.005056,10.82,HOLD,False,-0.1,,success
20260813T220233Z,DUK_FQ3_2023,p2_duke_energy,Duke Energy,DUK,FQ3 2023,2023-11-02,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2023-Q3/DUK_Q3_2023_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,42919,1719,44638,True,0.004903,10.82,HOLD,True,0.15,,success
20260813T220233Z,DUK_FQ4_2023,p2_duke_energy,Duke Energy,DUK,FQ4 2023,2024-02-08,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2023-Q4/DUK_Q4_2023_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,36303,1768,38071,True,0.004502,10.52,BUY,False,0.3,,success
20260813T220233Z,DUK_FQ1_2024,p2_duke_energy,Duke Energy,DUK,FQ1 2024,2024-05-07,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2024-Q1/DUK_Q1_2024_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,33223,2714,35937,True,0.005325,14.88,HOLD,True,0.15,,success
20260813T220233Z,DUK_FQ2_2024,p2_duke_energy,Duke Energy,DUK,FQ2 2024,2024-08-06,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2024-Q2/DUK_Q2_2024_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,32114,2128,34242,True,0.01096,12.64,BUY,False,0.2,,success
20260813T220233Z,DUK_FQ3_2024,p2_duke_energy,Duke Energy,DUK,FQ3 2024,2024-11-07,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2024-Q3/DUK_Q3_2024_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,37443,2535,39978,True,0.012847,21.65,HOLD,False,-0.1,,success
20260813T220233Z,DUK_FQ4_2024,p2_duke_energy,Duke Energy,DUK,FQ4 2024,2025-02-13,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2024-Q4/DUK_Q4_2024_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,37393,2479,39872,True,0.005348,38.6,BUY,False,0.35,,success
20260813T220233Z,DUK_FQ1_2025,p2_duke_energy,Duke Energy,DUK,FQ1 2025,2025-05-06,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2025-Q1/DUK_Q1_2025_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,25544,1908,27452,True,0.008944,13.4,BUY,False,0.2,,success
20260813T220233Z,DUK_FQ2_2025,p2_duke_energy,Duke Energy,DUK,FQ2 2025,2025-08-05,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2025-Q2/DUK_Q2_2025_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,32574,2435,35009,True,0.011422,14.64,BUY,False,0.25,,success
20260813T220233Z,DUK_FQ3_2025,p2_duke_energy,Duke Energy,DUK,FQ3 2025,2025-11-07,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2025-Q3/DUK_Q3_2025_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,33564,2233,35797,True,0.011467,14.89,BUY,False,0.3,,success
20260813T220233Z,DUK_FQ4_2025,p2_duke_energy,Duke Energy,DUK,FQ4 2025,2026-02-10,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2025-Q4/DUK_Q4_2025_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,36788,2279,39067,True,0.012388,15.17,BUY,False,0.55,,success
20260813T220233Z,DUK_FQ1_2026,p2_duke_energy,Duke Energy,DUK,FQ1 2026,2026-05-05,/Users/nigelsim/Desktop/arp-master-4/docs/duke_energy/CY2026-Q1/DUK_Q1_2026_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,27670,2182,29852,True,0.00982,13.85,BUY,False,0.25,,success
